,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
157,VVNT,Vivint Smart Home Inc,2021-05-13T20:00:00.000Z,AMC,-0.47,,,EDT,-14400000,EQUITY
158,HSTO,Histogen Inc,2021-05-13T20:00:00.000Z,AMC,-0.15,,,EDT,-14400000,EQUITY
159,THRY,Thryv Holdings Inc,2021-05-13T12:30:00.000Z,BMO,0.84,,,EDT,-14400000,EQUITY
160,EYE,National Vision Holdings Inc,2021-05-13T12:30:00.000Z,BMO,0.31,,,EDT,-14400000,EQUITY
161,HEOFF,H2O Innovation Inc,2021-05-13T08:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
162,THMO,Thermogenesis Holdings Inc,2021-05-13T20:00:00.000Z,AMC,-0.13,,,EDT,-14400000,EQUITY
163,OTLK,Outlook Therapeutics Inc,2021-05-13T12:30:00.000Z,BMO,-0.08,,,EDT,-14400000,EQUITY
164,MCHX,Marchex Inc,2021-05-13T20:00:00.000Z,AMC,-0.1,,,EDT,-14400000,EQUITY
165,SHWZ,Medicine Man Technologies Inc,2021-05-13T16:30:00.000Z,TAS,0.02,,,EDT,-14400000,EQUITY
166,OPGN,OpGen Inc,2021-05-13T12:30:00.000Z,BMO,-0.24,,,EDT,-14400000,EQUITY
167,UNIEF,Uni-Select Inc,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
168,IZEA,IZEA Worldwide Inc,2021-05-13T20:00:00.000Z,AMC,-0.02,,,EDT,-14400000,EQUITY
169,OSS,One Stop Systems Inc,2021-05-13T20:00:00.000Z,AMC,-0.01,,,EDT,-14400000,EQUITY
170,SOLY,Soliton Inc,2021-05-13T12:30:00.000Z,BMO,-0.25,,,EDT,-14400000,EQUITY
171,KMPH,KemPharm Inc,2021-05-13T20:00:00.000Z,AMC,-0.17,,,EDT,-14400000,EQUITY
172,XERS,Xeris Pharmaceuticals Inc,2021-05-13T12:30:00.000Z,BMO,-0.34,,,EDT,-14400000,EQUITY
173,OBLG,Oblong Inc,2021-05-13T20:00:00.000Z,AMC,-0.14,,,EDT,-14400000,EQUITY
174,PHUN,Phunware Inc,2021-05-13T20:00:00.000Z,AMC,-0.1,,,EDT,-14400000,EQUITY
175,TCNGF,Tricon Residential Inc,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
176,YMTX,Yumanity Therapeutics Inc,2021-05-13T20:00:00.000Z,AMC,-0.83,,,EDT,-14400000,EQUITY
177,PLT,Plantronics Inc,2021-05-13T20:00:00.000Z,AMC,0.93,,,EDT,-14400000,EQUITY
178,NSYS,Nortech Systems Inc,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
179,KELYA,Kelly Services Inc,2021-05-13T12:30:00.000Z,BMO,0.14,,,EDT,-14400000,EQUITY
180,TRVI,Trevi Therapeutics Inc,2021-05-13T20:00:00.000Z,AMC,-0.52,,,EDT,-14400000,EQUITY
181,SPPI,Spectrum Pharmaceuticals Inc,2021-05-13T20:00:00.000Z,AMC,-0.31,,,EDT,-14400000,EQUITY
182,SHSP,SharpSpring Inc,2021-05-13T20:00:00.000Z,AMC,-0.2,,,EDT,-14400000,EQUITY
183,NOPMF,Neo Performance Materials Inc,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
184,USIO,Usio Inc,2021-05-13T20:00:00.000Z,AMC,-0.03,,,EDT,-14400000,EQUITY
185,LSF,Laird Superfood Inc,2021-05-13T20:00:00.000Z,AMC,-0.45,,,EDT,-14400000,EQUITY
186,MOGO,Mogo Inc,2021-05-13T12:30:00.000Z,BMO,-0.16,,,EDT,-14400000,EQUITY
187,PRPH,Prophase Labs Inc,2021-05-13T12:30:00.000Z,BMO,0.2,,,EDT,-14400000,EQUITY
188,MMX,Maverix Metals Inc,2021-05-13T12:30:00.000Z,BMO,0.03,,,EDT,-14400000,EQUITY
189,TGEN,Tecogen Inc,2021-05-13T12:30:00.000Z,BMO,-0.03,,,EDT,-14400000,EQUITY
190,TGEN,Tecogen Inc,2021-05-13T11:00:00.000Z,TAS,-0.03,,,EDT,-14400000,EQUITY
191,PUBM,PubMatic Inc,2021-05-13T17:00:00.000Z,TAS,0.0,,,EDT,-14400000,EQUITY
192,PUBM,PubMatic Inc,2021-05-13T20:00:00.000Z,AMC,0.0,,,EDT,-14400000,EQUITY
193,PGTI,PGT Innovations Inc,2021-05-13T12:30:00.000Z,BMO,0.18,,,EDT,-14400000,EQUITY
194,QBCRF,Quebecor Inc,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
195,INFI,Infinity Pharmaceuticals Inc,2021-05-13T20:00:00.000Z,AMC,-0.12,,,EDT,-14400000,EQUITY
196,SNES,SenesTech Inc,2021-05-13T20:00:00.000Z,AMC,-0.16,,,EDT,-14400000,EQUITY
197,SUMXF,Supremex Inc,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
198,RGLS,Regulus Therapeutics Inc,2021-05-13T20:00:00.000Z,AMC,-0.09,,,EDT,-14400000,EQUITY
199,NTWK,NetSol Technologies Inc,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
200,RGLS,Regulus Therapeutics Inc,2021-05-13T20:00:00.000Z,AMC,-0.09,,,EDT,-14400000,EQUITY
201,SNES,SenesTech Inc,2021-05-13T20:00:00.000Z,AMC,-0.16,,,EDT,-14400000,EQUITY
202,ITOS,Iteos Therapeutics Inc,2021-05-13T20:00:00.000Z,AMC,-0.48,,,EDT,-14400000,EQUITY
203,INPX,Inpixon,2021-05-13T16:30:00.000Z,TAS,,,,EDT,-14400000,EQUITY
204,KNTNF,K92 Mining Inc,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
205,ISR,IsoRay Inc,2021-05-13T20:00:00.000Z,AMC,-0.01,,,EDT,-14400000,EQUITY
206,RSSS,Research Solutions Inc,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
207,SWIR,Sierra Wireless Inc,2021-05-13T20:00:00.000Z,AMC,-0.26,,,EDT,-14400000,EQUITY
208,VIVE,Viveve Medical Inc,2021-05-13T20:00:00.000Z,AMC,-0.51,,,EDT,-14400000,EQUITY
209,WWR,Westwater Resources Inc,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
210,IPWR,Ideal Power Inc,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
211,TENX,Tenax Therapeutics Inc,2021-05-13T20:00:00.000Z,AMC,-0.21,,,EDT,-14400000,EQUITY
212,MRNS,Marinus Pharmaceuticals Inc,2021-05-13T12:30:00.000Z,BMO,-0.45,,,EDT,-14400000,EQUITY
213,SNGX,Soligenix Inc,2021-05-13T12:30:00.000Z,BMO,-0.11,,,EDT,-14400000,EQUITY
214,NEWR,New Relic Inc,2021-05-13T20:00:00.000Z,AMC,-0.45,,,EDT,-14400000,EQUITY
215,MSIXF,Morneau Shepell Inc,2021-05-13T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
216,SYBX,Synlogic Inc,2021-05-13T12:30:00.000Z,BMO,-0.39,,,EDT,-14400000,EQUITY
217,INUV,Inuvo Inc,2021-05-13T20:00:00.000Z,AMC,-0.01,,,EDT,-14400000,EQUITY
218,PTE,PolarityTE Inc,2021-05-13T16:00:00.000Z,TAS,-0.12,,,EDT,-14400000,EQUITY
219,QMCI,QuoteMedia Inc,2021-05-13T12:30:00.000Z,BMO,0.0,,,EDT,-14400000,EQUITY
220,KNOP,Knot Offshore Partners LP,2021-05-13T12:30:00.000Z,BMO,0.72,0.86,19.44,EDT,-14400000,EQUITY
221,TNK,Teekay Tankers Ltd,2021-05-13T12:30:00.000Z,BMO,-0.8,,,EDT,-14400000,EQUITY
222,YLWDF,Yellow Pages Ltd,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
223,TGP,Teekay LNG Partners LP,2021-05-13T12:30:00.000Z,BMO,0.59,,,EDT,-14400000,EQUITY
224,TUFN,Tufin Software Technologies Ltd,2021-05-13T12:30:00.000Z,BMO,-0.27,,,EDT,-14400000,EQUITY
225,WVE,WAVE Life Sciences Ltd,2021-05-13T12:30:00.000Z,BMO,-0.59,,,EDT,-14400000,EQUITY
226,URGN,Urogen Pharma Ltd,2021-05-13T12:30:00.000Z,BMO,-1.29,,,EDT,-14400000,EQUITY
227,SLTTF,Slate Office REIT,2021-05-13T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
228,OSMT,Osmotica Pharmaceuticals PLC,2021-05-13T20:00:00.000Z,AMC,-0.23,,,EDT,-14400000,EQUITY
229,CERGF,Ceres Global Ag Corp,2021-05-14T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
230,LMPX,Lmp Automotive Holdings Inc,2021-05-14T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
231,ANFIF,Amira Nature Foods Ltd,2021-05-14T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
232,VJET,Voxeljet AG,2021-05-14T08:30:00.000Z,TAS,-0.68,,,EDT,-14400000,EQUITY
233,AIMFF,Aimia Inc,2021-05-14T07:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
234,ARHH,Assure Holdings Corp,2021-05-14T12:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
235,ARHH,Assure Holdings Corp,2021-05-14T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
236,BMNM,Bimini Capital Management Inc,2021-05-14T10:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
237,FREE,Whole Earth Brands Inc,2021-05-14T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
238,PLX,Protalix Biotherapeutics Inc,2021-05-14T05:30:00.000Z,BMO,-0.17,,,EDT,-14400000,EQUITY
239,BPTH,Bio Path Holdings Inc,2021-05-14T12:30:00.000Z,BMO,-0.49,,,EDT,-14400000,EQUITY
240,ONEXF,Onex Corp,2021-05-14T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
241,RCMT,R C M Technologies Inc,2021-05-14T20:00:00.000Z,AMC,0.03,,,EDT,-14400000,EQUITY
242,OMQS,Omniq Corp,2021-05-14T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
243,CLSN,Celsion Corp,2021-05-14T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
244,TPRFF,Gran Colombia Gold Corp,2021-05-14T09:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
245,STRR,Star Equity Holdings Inc,2021-05-14T10:00:00.000Z,TAS,-0.26,,,EDT,-14400000,EQUITY
246,EVK,Ever-Glory International Group Inc,2021-05-14T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
247,DUO,Fangdd Network Group Ltd,2021-05-14T12:30:00.000Z,BMO,-0.1,,,EDT,-14400000,EQUITY
248,FMTX,Forma Therapeutics Holdings Inc,2021-05-14T12:30:00.000Z,BMO,-0.76,,,EDT,-14400000,EQUITY
249,GBNH,Greenbrook TMS Inc,2021-05-14T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
250,SNCAF,Snc-Lavalin Group Inc,2021-05-14T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
251,IVPAF,Ivanhoe Mines Ltd,2021-05-14T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
252,KHTRF,Knight Therapeutics Inc,2021-05-14T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
253,PLXP,PLx Pharma Inc,2021-05-14T12:30:00.000Z,BMO,-0.21,,,EDT,-14400000,EQUITY
254,RGCO,RGC Resources Inc,2021-05-14T12:30:00.000Z,BMO,0.58,,,EDT,-14400000,EQUITY
255,VQSLF,Viq Solutions Inc,2021-05-14T11:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
256,TSUKF,Toyo Suisan Kaisha Ltd,2021-05-14T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
257,SAWLF,Shawcor Ltd,2021-05-14T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
258,NBLX,Noble Midstream Partners LP,2021-05-14T12:30:00.000Z,BMO,0.52,,,EDT,-14400000,EQUITY
